MACRO NAME,VALUE,DESCRIPITON
AUDIT_RESP_ACCT_LOCK,2207,User account was locked
AUDIT_RESP_TERM_LOCK,2208,Terminal was locked
AUDIT_RESP_SEBOOL,2209,Set an SELinux boolean
AUDIT_RESP_EXEC,2210,Execute a script
AUDIT_RESP_SINGLE,2211,Go to single user mode
AUDIT_RESP_HALT,2212,Take the system down
AUDIT_USER_ROLE_CHANGE,2300,User changed to a new SELinux role
AUDIT_ROLE_ASSIGN,2301,Administrator assigned user to SELinux role
AUDIT_ROLE_REMOVE,2302,Administrator removed user from SELinux role
AUDIT_LABEL_OVERRIDE,2303,Administrator is overriding a SELinux label
AUDIT_LABEL_LEVEL_CHANGE,2304,Object level SELinux label modified
AUDIT_USER_LABELED_EXPORT,2305,Object exported with SELinux label
AUDIT_USER_UNLABELED_EXPORT,2306,Object exported without SELinux label
AUDIT_DEV_ALLOC,2307,Device was allocated
AUDIT_DEV_DEALLOC,2308,Device was deallocated
AUDIT_FS_RELABEL,2309,Filesystem relabeled
AUDIT_USER_MAC_POLICY_LOAD,2310,Usersapce daemon loaded SELinux policy
AUDIT_ROLE_MODIFY,2311,Administrator modified an SELinux role
AUDIT_USER_MAC_CONFIG_CHANGE,2312,Change made to MAC (Mandatory Access Control) policy
AUDIT_CRYPTO_TEST_USER,2400,Cryptographic test results
AUDIT_CRYPTO_PARAM_CHANGE_USER,2401,Cryptographic attribute change
AUDIT_CRYPTO_LOGIN,2402,Cryptographic officer login
AUDIT_CRYPTO_LOGOUT,2403,Cryptographic officer logout
AUDIT_CRYPTO_KEY_USER,2404,"Create, delete, negotiate cryptographic key identifier"
AUDIT_CRYPTO_FAILURE_USER,2405,"Fail decrypt, encrypt or randomize operation"
AUDIT_CRYPTO_REPLAY_USER,2406,Cryptographic replay attack detected
AUDIT_CRYPTO_SESSION,2407,Parameters set during TLS session establishment
AUDIT_CRYPTO_IKE_SA,2408,Parameters related to IKE SA
AUDIT_CRYPTO_IPSEC_SA,2409,Parameters related to IPSEC SA
AUDIT_VIRT_CONTROL,2500,"Start, Pause, Stop VM"
AUDIT_VIRT_RESOURCE,2501,Resource assignment
AUDIT_VIRT_MACHINE_ID,2502,Binding of label to VM
AUDIT_VIRT_INTEGRITY_CHECK,2503,Guest integrity results
AUDIT_VIRT_CREATE,2504,Creation of guest image
AUDIT_VIRT_DESTROY,2505,Destruction of guest image
AUDIT_VIRT_MIGRATE_IN,2506,Inbound guest migration info
AUDIT_VIRT_MIGRATE_OUT,2507,Outbound guest migration info
